step,r,phi,dphi,dV,dr,truncation_error,friction
183,0.0138847,1594.46,-181827,-7.43698e+006,8.76913e-005,1.40837e-006,-3.92862e+007
184,0.0139724,1578.64,-179061,-7.2144e+006,8.81621e-005,1.39333e-006,-3.84459e+007
185,0.0140606,1562.97,-176334,-6.99848e+006,8.86369e-005,0.73961,-3.76231e+007
186,0.0141492,1547.46,-173638,-6.68935e+006,8.91199e-005,1.38657e-006,-3.68157e+007
187,0.0142384,1532.11,-170980,-6.48847e+006,8.96075e-005,1.37173e-006,-3.60252e+007
188,0.014328,1516.9,-168359,-6.29362e+006,9.00993e-005,1.357e-006,-3.52511e+007
189,0.0144181,1501.85,-165776,-6.10462e+006,9.05953e-005,1.34236e-006,-3.44933e+007
190,0.0145087,1486.95,-163229,-5.9213e+006,9.10957e-005,0.664727,-3.37514e+007
191,0.0145998,1472.19,-160712,-5.65632e+006,9.16045e-005,1.33462e-006,-3.30235e+007
192,0.0146914,1457.59,-158230,-5.48585e+006,9.21183e-005,1.32026e-006,-3.23108e+007
193,0.0147835,1443.12,-155783,-5.32052e+006,9.26365e-005,1.306e-006,-3.1613e+007
194,0.0148761,1428.8,-153372,-5.16018e+006,9.31593e-005,1.29191e-006,-3.09299e+007
195,0.0149693,1414.63,-150995,-5.00466e+006,9.36868e-005,0.597867,-3.02611e+007
196,0.015063,1400.59,-148646,-4.7776e+006,9.42231e-005,1.28341e-006,-2.9605e+007
197,0.0151572,1386.69,-146331,-4.63307e+006,9.47645e-005,1.2696e-006,-2.89626e+007
198,0.0152519,1372.94,-144048,-4.49292e+006,9.53109e-005,1.25591e-006,-2.83337e+007
199,0.0153473,1359.31,-141799,-4.357e+006,9.58621e-005,1.24237e-006,-2.77181e+007
200,0.0154431,1345.83,-139582,-4.22519e+006,9.64184e-005,0.538135,-2.71154e+007
201,0.0155395,1332.47,-137391,-4.0307e+006,9.69838e-005,1.23347e-006,-2.65242e+007
202,0.0156365,1319.26,-135232,-3.90828e+006,9.75548e-005,1.22022e-006,-2.59455e+007
203,0.0157341,1306.17,-133104,-3.78957e+006,9.81311e-005,1.2071e-006,-2.53789e+007
204,0.0158322,1293.21,-131007,-3.67447e+006,9.87126e-005,1.19415e-006,-2.48242e+007
205,0.0159309,1280.38,-128941,-3.56286e+006,9.92996e-005,0.48474,-2.42813e+007
206,0.0160302,1267.68,-126899,-3.39633e+006,9.98961e-005,1.18502e-006,-2.37488e+007
207,0.0161301,1255.1,-124887,-3.29274e+006,0.000100499,1.1724e-006,-2.32275e+007
208,0.0162306,1242.65,-122905,-3.1923e+006,0.000101107,1.1599e-006,-2.27172e+007
209,0.0163317,1230.32,-120951,-3.09493e+006,0.000101721,1.14754e-006,-2.22177e+007
210,0.0164334,1218.12,-119026,-3.00052e+006,0.000102341,0.436983,-2.17287e+007
211,0.0165358,1206.03,-117124,-2.85799e+006,0.00010297,1.13838e-006,-2.12492e+007
212,0.0166388,1194.07,-115250,-2.77042e+006,0.000103607,1.12638e-006,-2.07799e+007
213,0.0167424,1182.23,-113404,-2.68553e+006,0.000104249,1.1145e-006,-2.03204e+007
214,0.0168466,1170.5,-111585,-2.60324e+006,0.000104898,1.10276e-006,-1.98707e+007
215,0.0169515,1158.89,-109792,-2.52347e+006,0.000105553,0.394246,-1.94305e+007
216,0.0170571,1147.39,-108022,-2.40153e+006,0.000106218,1.09371e-006,-1.8999e+007
217,0.0171633,1136.01,-106278,-2.32759e+006,0.000106891,1.08234e-006,-1.85765e+007
218,0.0172702,1124.74,-104559,-2.25592e+006,0.00010757,1.07108e-006,-1.8163e+007
