phi,V_solver,dV_solver,d2V_solver,V_full,dV_full,d2V_full
1.907655723990e+002,3.925159084238e+005,3.988480505110e+003,-1.624977127548e+001,1.650690108443e+005,1.603910850123e+003,-2.874977127548e+001
1.915137675467e+002,3.954959007963e+005,3.977243915937e+003,6.655339608082e+001,1.662613810466e+005,1.583321821602e+003,5.405339608082e+001
1.922648971652e+002,3.984788917037e+005,3.965308803771e+003,-1.801161513108e+001,1.674426999416e+005,1.561997589206e+003,-3.051161513108e+001
1.930189727635e+002,4.014643115483e+005,3.952661171979e+003,-1.890995976865e+001,1.686122875067e+005,1.539924012436e+003,-3.140995976865e+001
1.937760058959e+002,4.044515887882e+005,3.939287105659e+003,-1.981966081871e+001,1.697694609070e+005,1.517087031959e+003,-3.231966081871e+001
1.945360081623e+002,4.074401345659e+005,3.925172473296e+003,-2.074083104660e+001,1.709135191177e+005,1.493472371268e+003,-3.324083104660e+001
1.952989912076e+002,4.104293423234e+005,3.910302923720e+003,-2.167358424089e+001,1.720437425316e+005,1.469065533626e+003,-3.417358424089e+001
1.960649667227e+002,4.134185901869e+005,3.894663936272e+003,-2.261675878772e+001,1.731593953372e+005,1.443851852239e+003,-3.511675878772e+001
1.968339464442e+002,4.164072463754e+005,3.878240927577e+003,-2.357301166836e+001,1.742597309204e+005,1.417816597025e+003,-3.607301166836e+001
1.976059421549e+002,4.193946351677e+005,3.861018605613e+003,-2.454119488081e+001,1.753439578244e+005,1.390944328676e+003,-3.704119488081e+001
1.983809656837e+002,4.223800752043e+005,3.842981709397e+003,-2.552142632198e+001,1.764112780444e+005,1.363219638351e+003,-3.802142632198e+001
1.991590289058e+002,4.253628653811e+005,3.824114742445e+003,-2.651382493165e+001,1.774608729143e+005,1.334626881123e+003,-3.901382493165e+001
1.999401437431e+002,4.283422844165e+005,3.804401969473e+003,-2.751851071431e+001,1.784919026664e+005,1.305150172684e+003,-4.001851071431e+001
2.007243221643e+002,4.313175963113e+005,3.783827523586e+003,-2.853428382857e+001,1.795035118842e+005,1.274773496532e+003,-4.103428382857e+001
2.015115761850e+002,4.342880447252e+005,3.762375304239e+003,-2.956389614293e+001,1.804948238716e+005,1.243480601927e+003,-4.206389614293e+001
2.023019178678e+002,4.372528331412e+005,3.740028613475e+003,-3.060616196377e+001,1.814649208099e+005,1.211254640127e+003,-4.310616196377e+001
2.030953593228e+002,4.402111550749e+005,3.716770727065e+003,-3.166120562039e+001,1.824128739595e+005,1.178078735530e+003,-4.416120562039e+001
2.038919127075e+002,4.431621815687e+005,3.692584664836e+003,-3.272915252726e+001,1.833377311467e+005,1.143935755992e+003,-4.522915252726e+001
2.046915902270e+002,4.461050607052e+005,3.667453187100e+003,-3.381012923631e+001,1.842385162698e+005,1.108808309262e+003,-4.631012923631e+001
2.054944041345e+002,4.490389266601e+005,3.641358965741e+003,-3.490289639524e+001,1.851142383438e+005,1.072678914060e+003,-4.740289639524e+001
2.063003667311e+002,4.519628810853e+005,3.614284247082e+003,-3.601030427802e+001,1.859638728767e+005,1.035529662943e+003,-4.851030427802e+001
2.071094903660e+002,4.548759901978e+005,3.586210807713e+003,-3.713112823571e+001,1.867863589498e+005,9.973421781374e+002,-4.963112823571e+001
2.079217874372e+002,4.577773051995e+005,3.557120333388e+003,-3.826549935069e+001,1.875806196301e+005,9.580979904230e+002,-5.076549935069e+001
2.087372703911e+002,4.606658517561e+005,3.526994231799e+003,-3.941354986553e+001,1.883455514417e+005,9.177783519104e+002,-5.191354986553e+001
2.095559517228e+002,4.635406294521e+005,3.495813628714e+003,-4.057541318922e+001,1.890800238119e+005,8.763642321788e+002,-5.307541318922e+001
2.103778439766e+002,4.664006250186e+005,3.463559610473e+003,-4.174980914003e+001,1.897828922919e+005,8.338365607654e+002,-5.424980914003e+001
2.112029597461e+002,4.692447785055e+005,3.430212623008e+003,-4.293969005819e+001,1.904529647211e+005,7.901756261817e+002,-5.543969005819e+001
2.120313116740e+002,4.720720003894e+005,3.395752788266e+003,-4.414379103482e+001,1.910890183257e+005,7.453613923414e+002,-5.664379103482e+001
2.128629124527e+002,4.748811802719e+005,3.360160064848e+003,-4.536225024781e+001,1.916898084103e+005,6.993736591891e+002,-5.786225024781e+001
