phi,V,dV_dphi,lambda_eff,beta_lambda
2.769841682322e+002,5.271697237867e+005,2.440496187497e+003,3.582536842410e-004,-4.868167328152e-004
2.783725571532e+002,5.227900473501e+005,2.280412235872e+003,3.482423835570e-004,-4.850559882397e-004
2.797679054026e+002,5.180596580568e+005,2.115483320292e+003,3.382580964513e-004,-4.832989293482e-004
2.811702478642e+002,5.129669171448e+005,1.945606683381e+003,3.283007639627e-004,-4.815455467949e-004
2.825796195967e+002,5.074998721531e+005,1.770677661075e+003,3.183703272882e-004,-4.797958312633e-004
2.839960558343e+002,5.016462492400e+005,1.590589649676e+003,3.084667277828e-004,-4.780497734665e-004
2.854195919882e+002,4.953934453231e+005,1.405234072355e+003,2.985899069589e-004,-4.763073641465e-004
2.868502636467e+002,4.887285200378e+005,1.214500345106e+003,2.887398064855e-004,-4.745685940746e-004
2.882881065768e+002,4.816381875093e+005,1.018275842137e+003,2.789163681884e-004,-4.728334540510e-004
2.897331567245e+002,4.741088079354e+005,8.164458606866e+002,2.691195340487e-004,-4.711019349046e-004
2.911854502162e+002,4.661263789737e+005,6.088935852683e+002,2.593492462032e-004,-4.693740274933e-004
