phi,dV_fd,dV_ana
2.45692e+008,6.30994e+022,6.15428e+022
2.54921e+008,7.09657e+022,6.92282e+022
2.64498e+008,7.98404e+022,7.78986e+022
2.74434e+008,8.9785e+022,8.76175e+022
2.84744e+008,1.00964e+023,9.85443e+022
2.95441e+008,5.46572e+022,1.10829e+023
3.0654e+008,1.27701e+023,1.24683e+023
3.18055e+008,1.43581e+023,1.40212e+023
3.30003e+008,1.61429e+023,1.57669e+023
3.42401e+008,1.81553e+023,1.77351e+023
3.55263e+008,2.04103e+023,1.99412e+023
3.6861e+008,2.29444e+023,2.24209e+023
3.82457e+008,2.57921e+023,2.52078e+023
3.96825e+008,2.90021e+023,2.8349e+023
4.11732e+008,3.25989e+023,3.187e+023
4.27199e+008,3.66403e+023,3.58268e+023
4.43248e+008,4.11812e+023,4.02732e+023
4.59899e+008,4.62982e+023,4.52834e+023
4.77176e+008,5.20318e+023,5.08992e+023
4.95102e+008,5.84733e+023,5.72092e+023
5.13701e+008,6.57099e+023,6.4299e+023
5.32999e+008,7.38622e+023,7.22854e+023
5.53022e+008,8.29968e+023,8.1237e+023
5.73798e+008,9.32579e+023,9.12938e+023
5.95353e+008,1.04784e+024,1.02592e+024
6.17719e+008,1.17765e+024,1.15315e+024
6.40924e+008,1.3231e+024,1.29576e+024
6.65002e+008,1.48647e+024,1.45595e+024
6.89984e+008,1.67042e+024,1.63632e+024
7.15904e+008,1.87654e+024,1.83847e+024
7.42798e+008,2.10801e+024,2.06554e+024
7.70703e+008,2.36797e+024,2.32056e+024
7.99655e+008,2.66062e+024,2.60764e+024
8.29696e+008,2.98852e+024,2.92939e+024
8.60865e+008,3.35672e+024,3.29073e+024
8.93205e+008,3.77017e+024,3.69653e+024
9.26759e+008,4.23551e+024,4.1532e+024
9.61575e+008,4.75689e+024,4.66503e+024
9.97698e+008,5.34229e+024,5.23978e+024
1.03518e+009,5.99955e+024,5.88515e+024
1.07407e+009,6.73913e+024,6.61128e+024
1.11442e+009,7.56777e+024,7.42509e+024
1.15628e+009,8.49805e+024,8.33883e+024
1.19972e+009,9.54243e+024,9.36473e+024
1.24479e+009,1.07173e+025,1.05188e+025
1.29155e+009,1.20337e+025,1.18121e+025
1.34007e+009,1.35114e+025,1.32641e+025
1.39041e+009,1.51736e+025,1.48972e+025
1.44264e+009,1.70358e+025,1.67274e+025
1.49684e+009,1.91261e+025,1.87819e+025
1.55307e+009,2.14723e+025,2.10882e+025
1.61141e+009,2.41109e+025,2.36816e+025
1.67195e+009,2.70671e+025,2.6588e+025
1.73476e+009,3.03849e+025,2.98503e+025
1.79993e+009,3.41085e+025,3.3512e+025
1.86755e+009,3.82954e+025,3.76287e+025
1.9377e+009,4.29861e+025,4.22421e+025
2.0105e+009,4.82502e+025,4.742e+025
2.08602e+009,5.41575e+025,5.32311e+025
2.16439e+009,6.07987e+025,5.97633e+025
2.2457e+009,6.82388e+025,6.70834e+025
2.33006e+009,7.65875e+025,7.52983e+025
2.41759e+009,8.59557e+025,8.4517e+025
2.50842e+009,9.64857e+025,9.48778e+025
2.60265e+009,1.08282e+026,1.06488e+026
2.70042e+009,1.21518e+026,1.19516e+026
2.80187e+009,1.36394e+026,1.34157e+026
2.90712e+009,1.53059e+026,1.50562e+026
3.01633e+009,1.71756e+026,1.6897e+026
3.12965e+009,1.92733e+026,1.89624e+026
3.24722e+009,2.16305e+026,2.12831e+026
3.36921e+009,2.42711e+026,2.38834e+026
3.49578e+009,2.72335e+026,2.68009e+026
3.6271e+009,3.05568e+026,3.00741e+026
3.76336e+009,3.42907e+026,3.37512e+026
3.90474e+009,3.84734e+026,3.78714e+026
4.05142e+009,4.31654e+026,4.24937e+026
4.20362e+009,4.84287e+026,4.76791e+026
4.36154e+009,5.43413e+026,5.35036e+026
4.52539e+009,6.09645e+026,6.00298e+026
4.69539e+009,6.83935e+026,6.73506e+026
4.87178e+009,7.67264e+026,7.55627e+026
5.0548e+009,8.6086e+026,8.47854e+026
5.24469e+009,9.65703e+026,9.51191e+026
5.44171e+009,1.08329e+027,1.0671e+027
5.64614e+009,1.21518e+027,1.19711e+027
5.85825e+009,1.36329e+027,1.3431e+027
6.07832e+009,1.52921e+027,1.50668e+027
6.30667e+009,1.71527e+027,1.69014e+027
6.54359e+009,1.92423e+027,1.89613e+027
6.78941e+009,2.15827e+027,2.12693e+027
7.04446e+009,2.42074e+027,2.38577e+027
7.3091e+009,2.71508e+027,2.67606e+027
7.58368e+009,3.04558e+027,3.00196e+027
7.86857e+009,3.41576e+027,3.36709e+027
8.16417e+009,3.83086e+027,3.77656e+027
8.47087e+009,4.29634e+027,4.23575e+027
8.78909e+009,4.81893e+027,4.75122e+027
9.11927e+009,5.40425e+027,5.3287e+027
9.46185e+009,6.06057e+027,5.97628e+027
9.8173e+009,6.79648e+027,6.70243e+027
1.01861e+010,7.62259e+027,7.51747e+027
